x, y, du, u,e_to_next_x, e_to_next_y, to_next_theta,tx, ty, t_theta,nx, ny, n_theta,kappa
0.0651245,3.51176,0.0099846,1.54761,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0649671,3.50178,0.0099846,1.5576,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0648096,3.49179,0.0099846,1.56758,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0646522,3.48181,0.0099846,1.57757,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0644947,3.47183,0.0099846,1.58755,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0643373,3.46184,0.0099846,1.59754,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0641798,3.45186,0.0099846,1.60752,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0640224,3.44188,0.0099846,1.61751,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0638649,3.43189,0.0099846,1.62749,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0637075,3.42191,0.0099846,1.63747,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.06355,3.41193,0.0099846,1.64746,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0633925,3.40194,0.0099846,1.65744,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0632351,3.39196,0.0099846,1.66743,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0630776,3.38198,0.0099846,1.67741,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0629202,3.37199,0.0099846,1.6874,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0627627,3.36201,0.0099846,1.69738,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0626053,3.35203,0.0099846,1.70737,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0624478,3.34204,0.0099846,1.71735,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0622904,3.33206,0.0099846,1.72734,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0621329,3.32208,0.0099846,1.73732,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0619755,3.31209,0.0099846,1.74731,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.061818,3.30211,0.0099846,1.75729,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0616605,3.29213,0.0099846,1.76727,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0615031,3.28214,0.0099846,1.77726,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0613456,3.27216,0.0099846,1.78724,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0611882,3.26218,0.0099846,1.79723,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0610307,3.25219,0.0099846,1.80721,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,1.00074e-13,
0.0608733,3.24221,0.0099846,1.8172,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0607158,3.23223,0.0099846,1.82718,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0605584,3.22224,0.0099846,1.83717,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,6.67161e-14,
0.0604009,3.21226,0.0099846,1.84715,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-1.00074e-13,
0.0602435,3.20228,0.0099846,1.85714,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.060086,3.19229,0.0099846,1.86712,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0599285,3.18231,0.0099846,1.87711,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-6.67161e-14,
0.0597711,3.17233,0.0099846,1.88709,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0596136,3.16234,0.0099846,1.89707,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0594562,3.15236,0.0099846,1.90706,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0592987,3.14237,0.0099846,1.91704,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0591413,3.13239,0.0099846,1.92703,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0589838,3.12241,0.0099846,1.93701,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0588264,3.11242,0.0099846,1.947,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0586689,3.10244,0.0099846,1.95698,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0585115,3.09246,0.0099846,1.96697,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.058354,3.08247,0.0099846,1.97695,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0581965,3.07249,0.0099846,1.98694,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0580391,3.06251,0.0099846,1.99692,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0578816,3.05252,0.0099846,2.0069,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0577242,3.04254,0.0099846,2.01689,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0575667,3.03256,0.0099846,2.02687,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0574093,3.02257,0.0099846,2.03686,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0572518,3.01259,0.0099846,2.04684,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0570944,3.00261,0.0099846,2.05683,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0569369,2.99262,0.0099846,2.06681,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0567795,2.98264,0.0099846,2.0768,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.056622,2.97266,0.0099846,2.08678,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0564645,2.96267,0.0099846,2.09677,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0563071,2.95269,0.0099846,2.10675,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0561496,2.94271,0.0099846,2.11674,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0559922,2.93272,0.0099846,2.12672,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0558347,2.92274,0.0099846,2.1367,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0556773,2.91276,0.0099846,2.14669,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0555198,2.90277,0.0099846,2.15667,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0553624,2.89279,0.0099846,2.16666,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0552049,2.88281,0.0099846,2.17664,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0550475,2.87282,0.0099846,2.18663,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.05489,2.86284,0.0099846,2.19661,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,0,
0.0547325,2.85286,0.0099846,2.2066,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,3.33581e-14,
0.0545751,2.84287,0.0099846,2.21658,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
0.0544176,2.83289,0.0099846,2.22657,-0.0157697,-0.999876,-1.58657,0,0,0,0,0,0,-3.33581e-14,
